model,MAE,RMSE,params
KernelRidge(),91.87689844065729,120.52265867125286,"{'alpha': np.float64(0.01656161438754468), 'gamma': np.float64(67.59172382911353), 'kernel': 'rbf'}"
KernelRidge(),142.14290520909483,289.2838113044334,"{'alpha': np.float64(0.016085276555979505), 'gamma': np.float64(19538.76028538971), 'kernel': 'rbf'}"
KernelRidge(),162.11115601945625,195.56016702657118,"{'alpha': np.float64(0.0006491669332487892), 'gamma': np.float64(711205.0565918388), 'kernel': 'polynomial'}"
KernelRidge(),84.96419517417917,115.31531067471761,"{'alpha': np.float64(30.608169081925006), 'gamma': np.float64(183619.6411346787), 'kernel': 'poly'}"
KernelRidge(),86.23054084999802,114.30822548551959,"{'alpha': np.float64(1.9746046289864862e-05), 'gamma': np.float64(712.5685986562164), 'kernel': 'polynomial'}"
KernelRidge(),82.88170483006778,113.10087685620286,"{'alpha': np.float64(0.0005101853263062428), 'gamma': np.float64(1412.4445144545134), 'kernel': 'poly'}"
model,MAE,RMSE,params
KernelRidge(),142.8818818253831,238.3487449618062,"{'alpha': np.float64(0.013155672067061393), 'gamma': np.float64(11393.218649304961), 'kernel': 'poly'}"
KernelRidge(),83.46479612170909,112.64018283928476,"{'alpha': np.float64(1.5671774108256708e-06), 'gamma': np.float64(174108.63768339762), 'kernel': 'polynomial'}"
KernelRidge(),109.57707025741605,161.3326151120188,"{'alpha': np.float64(4.337644922016924e-06), 'gamma': np.float64(61.99629300023033), 'kernel': 'rbf'}"
KernelRidge(),86.20783029000948,122.97918117300046,"{'alpha': np.float64(0.0003158375487684873), 'gamma': np.float64(83528.13082794909), 'kernel': 'poly'}"
KernelRidge(),84.27036485672016,139.7910568929307,"{'alpha': np.float64(3.613628135006221e-06), 'gamma': np.float64(260.8742487847217), 'kernel': 'poly'}"
KernelRidge(),135.48533195696774,165.14402497775373,"{'alpha': np.float64(0.020979575070747745), 'gamma': np.float64(381412.5353233849), 'kernel': 'polynomial'}"
KernelRidge(),160.563481034777,193.6585190951767,"{'alpha': np.float64(0.7019516639180933), 'gamma': np.float64(27269.28143151062), 'kernel': 'polynomial'}"
KernelRidge(),108.28577208739739,142.451759505269,"{'alpha': np.float64(0.002953305078230188), 'gamma': np.float64(3.3940566954257836), 'kernel': 'polynomial'}"
KernelRidge(),158.9235016272966,191.85183059176603,"{'alpha': np.float64(6.311357256485191), 'gamma': np.float64(857532.7877238471), 'kernel': 'poly'}"
KernelRidge(),91.87689844065729,120.52265867125286,"{'alpha': np.float64(0.01656161438754468), 'gamma': np.float64(67.59172382911353), 'kernel': 'rbf'}"
KernelRidge(),142.14290520909483,289.2838113044334,"{'alpha': np.float64(0.016085276555979505), 'gamma': np.float64(19538.76028538971), 'kernel': 'rbf'}"
KernelRidge(),162.11115601945625,195.56016702657118,"{'alpha': np.float64(0.0006491669332487892), 'gamma': np.float64(711205.0565918388), 'kernel': 'polynomial'}"
KernelRidge(),84.96419517417917,115.31531067471761,"{'alpha': np.float64(30.608169081925006), 'gamma': np.float64(183619.6411346787), 'kernel': 'poly'}"
KernelRidge(),86.23054084999802,114.30822548551959,"{'alpha': np.float64(1.9746046289864862e-05), 'gamma': np.float64(712.5685986562164), 'kernel': 'polynomial'}"
KernelRidge(),82.88170483006778,113.10087685620286,"{'alpha': np.float64(0.0005101853263062428), 'gamma': np.float64(1412.4445144545134), 'kernel': 'poly'}"
